code_standard_name,code,description
ICD-10,Z85.53,Personal history of malignant neoplasm of renal pelvis
ICD-10,Z90.5,Acquired absence of kidney
ICD-10,Z91.15,Patient's noncompliance with renal dialysis
ICD-10,Z94.0,Kidney transplant status
ICD-10,Z99.2,Dependence on renal dialysis
ICD9,189.0,Malig neopl kidney
ICD9,189.1,Malig neo renal pelvis
ICD9,194.0,Malign neopl adrenal
ICD9,198.0,Second malig neo kidney
ICD9,198.7,Second malig neo adrenal
ICD9,209.24,Mal carcin tumor kidney
ICD9,223.0,Benign neoplasm kidney
ICD9,223.1,Benign neo renal pelvis
ICD9,227.0,Benign neoplasm adrenal
ICD9,236.91,Unc behav neo kidney
ICD9,237.2,Unc behav neo adrenal
ICD9,249.40,Sec diab mel w renal manif not std uncntrld or NOS
ICD9,249.41,Sec diab mel w renal manif uncntrld
ICD9,249.41,Sec DM renal uncontrld
ICD9,250.42,DMII renal uncntrld
ICD9,250.43,DMI renal uncntrld
ICD9,252.02,Sec hyprprthyrd nonrenal
ICD9,255.4,Corticoadrenal insuffic
ICD9,255.5,Adrenal hypofunction NEC
ICD9,255.6,Medulloadrenal hyperfunc
ICD9,255.8,Adrenal disorder NEC
ICD9,255.9,Adrenal disorder NOS
ICD9,271.4,Renal glycosuria
ICD9,285.21,Anemia in chr kidney dis
ICD9,440.1,Renal artery atheroscler
ICD9,442.1,Renal artery aneurysm
ICD9,443.23,Dissection renal artery
ICD9,445.81,"Atheroembolism, kidney"
ICD9,447.3,Renal artery hyperplasia
ICD9,453.3,Renal vein thrombosis
ICD9,572.4,Hepatorenal syndrome
ICD9,584.5,Ac kidney fail w lesn tubular necr
ICD9,584.5,"Ac kidny fail, tubr necr"
ICD9,584.6,Ac kidney fail w lesn renal cort necr
ICD9,584.6,"Ac kidny fail, cort necr"
ICD9,584.7,Ac kidney fail w lesn renal medul necr
ICD9,584.8,Ac kidney fail w patholog lesn kidney
ICD9,584.8,Acute kidney failure NEC
ICD9,584.9,"Ac kidney failure, unspec"
ICD9,584.9,Acute kidney failure NOS
ICD9,585,Chronic renal failure
ICD9,585,CHRONIC RENAL FAILURE
ICD9,585.1,Chro kidney dis stage I
ICD9,585.2,Chro kidney dis stage II
ICD9,585.3,Chr kidney dis stage III
ICD9,585.4,Chr kidney dis stage IV
ICD9,585.5,Chron kidney dis stage V
ICD9,585.6,End stage renal disease
ICD9,585.9,Chronic kidney dis NOS
ICD9,586,Renal failure NOS
ICD9,587,Renal sclerosis NOS
ICD9,588.0,Renal osteodystrophy
ICD9,588.81,Sec hyperparathyrd-renal
ICD9,588.9,Impaired renal funct NOS
ICD9,589.0,Unilateral small kidney
ICD9,589.1,Bilateral small kidneys
ICD9,590.2,Renal/perirenal abscess
ICD9,590.9,Infection of kidney NOS
ICD9,592.0,Calculus of kidney
ICD9,593.1,Hypertrophy of kidney
ICD9,593.2,"Cyst of kidney, acquired"
ICD9,593.81,Renal vascular disorder
ICD9,593.89,Renal & ureteral dis NEC
ICD9,593.9,Renal & ureteral dis NOS
ICD9,642.11,Renal hyperten pg-deliv
ICD9,642.13,Renal hyperten-antepart
ICD9,642.14,Renal hyperten-postpart
ICD9,646.21,Renal dis NOS-delivered
ICD9,646.22,Renal dis NOS-del w p/p
ICD9,646.23,Renal dis NOS-antepartum
ICD9,646.24,Renal dis NOS-postpartum
ICD9,669.32,Ac kidney fail-del w p/p
ICD9,669.32,"Ac kidney fail fol L&D, postpart complic"
ICD9,669.34,"Ac kidney fail fol L&D, postpart"
ICD9,669.34,Ac kidney fail-postpart
ICD9,747.62,Renal vessel anomaly
ICD9,753.0,Renal agenesis
ICD9,753.10,Cystic kidney diseas NOS
ICD9,753.11,Congenital renal cyst
ICD9,753.12,Polycystic kidney NOS
ICD9,753.15,Renal dysplasia
ICD9,753.16,Medullary cystic kidney
ICD9,753.17,Medullary sponge kidney
ICD9,753.19,Cystic kidney diseas NEC
ICD9,753.3,Kidney anomaly NEC
ICD9,759.1,Adrenal gland anomaly
ICD9,772.5,NB adrenal hemorrhage
ICD9,788.0,Renal colic
ICD9,794.4,Abn kidney funct study
ICD9,866.00,Kidney injury NOS-closed
ICD9,866.01,Kidney hematoma-closed
ICD9,866.02,Kidney laceration-closed
ICD9,866.03,Kidney disruption-closed
ICD9,866.10,Kidney injury NOS-open
ICD9,866.11,Kidney hematoma-open
ICD9,866.12,Kidney laceration-open
ICD9,866.13,Kidney disruption-open
ICD9,868.01,Adrenal gland injury-cl
ICD9,902.41,Injury renal artery
ICD9,902.42,Injury renal vein
ICD9,996.81,Comp kidney transplant
ICD9,996.81,Compl kidney transplant
ICD9,997.72,Vasc comp renal artery
ICD9,E879.1,Abn react-renal dialysis
ICD9,V10.52,Hx of kidney malignancy
ICD9,V10.53,Hx malig renal pelvis
ICD9,V16.51,Family hx-kidney malig
ICD9,V18.61,Fam hx-polycystic kidney
ICD9,V18.69,Fam hx-kidney dis NEC
ICD9,V42.0,Kidney transplant status
ICD9,V45.1,Renal dialysis status
ICD9,V45.1,RENAL DIALYSIS STATUS
ICD9,V45.11,Postprocedural renal dialysis stat
ICD9,V45.11,Renal dialysis status
ICD9,V45.12,Noncmplnt w renal dialys
ICD9,V45.12,Noncompliance w renal dialysis
ICD9,V45.73,Acquired absence kidney
ICD9,V56.0,Renal dialysis encounter
ICD9,V59.4,Kidney donor
